time,rating,free_text,do_better,surgery,pcn,sentiment_free_text,sentiment_score_free_text,sentiment_do_better,sentiment_score_do_better,free_text_len,do_better_len,rating_score,feedback_labels,improvement_labels,submission_id,respondent-id,emotion_free_text,emotion_do_better,free_text_PER,do_better_PER,campaing_id,logic,campaign_rating,campaign_freetext,free_text_qa,do_better_qa
2024-01-01 10:51:00,Very good,,,Scarsdale-Medical-Centre,Brompton-Health-PCN,neutral,0.0,neutral,0.0,4.0,0,5.0,,,mannual,upload,,,,,,,,,,
2024-01-01 15:20:00,Very good,,,Scarsdale-Medical-Centre,Brompton-Health-PCN,neutral,0.0,neutral,0.0,5.0,0,5.0,,,mannual,upload,,,,,,,,,,
2024-01-01 17:47:00,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,2.0,2,5.0,,,,,,,,,,,,,,
2024-01-02 07:58:00,Good,PERSON was amazing kind and helpful The reception staff were cold and rather indifferent A more welcoming and friendly approach would be appreciated,,Scarsdale-Medical-Centre,Brompton-Health-PCN,positive,0.9379867911,neutral,0.0,23.0,0,4.0,Reception Staff Interaction,,mannual,upload,admiration,,['Denise'],,,,,,"{'score': 0.034968744963407516, 'start': 36, 'end': 88, 'answer': 'The reception staff were cold and rather indifferent'}",
2024-01-02 10:44:00,Very good,,,Scarsdale-Medical-Centre,Brompton-Health-PCN,neutral,0.0,neutral,0.0,1.0,0,5.0,,,mannual,upload,,,,,,,,,,
2024-01-03 12:55:00,Very good,,,Scarsdale-Medical-Centre,Brompton-Health-PCN,neutral,0.0,neutral,0.0,2.0,0,5.0,,,mannual,upload,,,,,,,,,,
2024-01-03 15:19:00,Very good,,,Scarsdale-Medical-Centre,Brompton-Health-PCN,neutral,0.0,neutral,0.0,4.0,0,5.0,,,mannual,upload,,,,,,,,,,
2024-01-03 16:08:00,Good,,,Scarsdale-Medical-Centre,Brompton-Health-PCN,neutral,0.0,neutral,0.0,3.0,0,4.0,,,mannual,upload,,,,,,,,,,
2024-01-03 21:23:00,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,0.0,0,5.0,,,,,,,,,,,,,,
2024-01-03 21:55:00,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,3.0,0,5.0,,,,,,,,,,,,,,
2024-01-04 10:42:00,Very good,We have had Very good service from the NHS regarding my diabetes All of my needs have been met Iâ€™m very happy,,Scarsdale-Medical-Centre,Brompton-Health-PCN,positive,0.9710784554,neutral,0.0,22.0,0,5.0,Treatment Quality,,mannual,upload,joy,,,,,,,,"{'score': 0.024738408625125885, 'start': 65, 'end': 111, 'answer': 'All of my needs have been met Iâ€™m very happy'}",
2024-01-04 11:45:00,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,0.0,0,5.0,,,,,,,,,,,,,,
2024-01-04 11:46:00,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,2.0,1,5.0,,,,,,,,,,,,,,
2024-01-04 11:46:00,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,0.0,0,5.0,,,,,,,,,,,,,,
2024-01-04 11:47:00,Good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,0.0,0,4.0,,,,,,,,,,,,,,
2024-01-04 11:47:00,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,0.0,0,5.0,,,,,,,,,,,,,,
2024-01-04 11:47:00,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,0.0,0,5.0,,,,,,,,,,,,,,
2024-01-04 11:48:00,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,2.0,1,5.0,,,,,,,,,,,,,,
2024-01-04 11:48:00,Good,The staff polite feel welcome and comfortable whit doctor,,Earls-Court-Surgery,Brompton-Health-PCN,positive,0.8193179369,neutral,0.0,9.0,1,4.0,Staff Professionalism,,,,gratitude,,,,,,,,"{'score': 0.0009052649256773293, 'start': 0, 'end': 45, 'answer': 'The staff polite feel welcome and comfortable'}",
2024-01-04 11:50:00,Very good,I ve been with the Surgery for years Good service even in Covid Many thanks,,Earls-Court-Surgery,Brompton-Health-PCN,positive,0.9576987624,neutral,0.0,14.0,1,5.0,Patient Respect,,,,gratitude,,,,,,,,"{'score': 0.0009542122716084123, 'start': 37, 'end': 75, 'answer': 'Good service even in Covid Many thanks'}",
2024-01-04 11:54:00,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,0.0,0,5.0,,,,,,,,,,,,,,
2024-01-04 12:01:00,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,4.0,1,5.0,,,,,,,,,,,,,,
2024-01-04 12:06:00,Good,All people who works there Very kind team work are excellent,,Earls-Court-Surgery,Brompton-Health-PCN,positive,0.9747138619,neutral,0.0,11.0,0,4.0,Staff Professionalism,,,,admiration,,,,,,,,"{'score': 0.0032025366090238094, 'start': 27, 'end': 60, 'answer': 'Very kind team work are excellent'}",
2024-01-04 12:07:00,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,4.0,0,5.0,,,,,,,,,,,,,,
2024-01-04 12:22:00,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,0.0,0,5.0,,,,,,,,,,,,,,
2024-01-04 12:23:00,Very good,I always get an appointment when I need it and the staff and doctors take the time to listen to you,Having a coffee machine so you can have a drink while waiting,Earls-Court-Surgery,Brompton-Health-PCN,positive,0.583609402,neutral,0.739397347,21.0,12,5.0,Patient Respect,Accessibility and Convenience,,,neutral,neutral,,,,,,,"{'score': 0.004373829811811447, 'start': 0, 'end': 42, 'answer': 'I always get an appointment when I need it'}","{'score': 0.057268086820840836, 'start': 0, 'end': 23, 'answer': 'Having a coffee machine'}"
2024-01-04 12:54:00,Very good,The assistants are very helpful and professional,,Earls-Court-Surgery,Brompton-Health-PCN,positive,0.9664122462,neutral,0.0,7.0,0,5.0,Staff Professionalism,,,,admiration,,,,,,,,"{'score': 0.0005044532008469105, 'start': 0, 'end': 48, 'answer': 'The assistants are very helpful and professional'}",
2024-01-04 13:19:00,Very good,,,Scarsdale-Medical-Centre,Brompton-Health-PCN,neutral,0.0,neutral,0.0,1.0,0,5.0,,,mannual,upload,,,,,,,,,,
2024-01-04 13:29:00,Very good,,,Scarsdale-Medical-Centre,Brompton-Health-PCN,neutral,0.0,neutral,0.0,1.0,0,5.0,,,mannual,upload,,,,,,,,,,
2024-01-04 14:01:00,Very good,Gp is understanding and compassionate The reception staff are courteous And friendly and always try to help you every way they can,Due to the number of illnesses I suffer from some of which are serious it would be so beneficial to me to have an appointment much sooner based Upon I am In a vulnerable group in relation to my medical problems,Earls-Court-Surgery,Brompton-Health-PCN,positive,0.9523379803,negative,0.6172849536,22.0,41,5.0,Staff Empathy and Compassion,Appointment Availability,,,caring,sadness,,,,,,,"{'score': 0.0006502480828203261, 'start': 6, 'end': 37, 'answer': 'understanding and compassionate'}","{'score': 0.10852524638175964, 'start': 71, 'end': 137, 'answer': 'it would be so beneficial to me to have an appointment much sooner'}"
2024-01-04 15:25:00,Good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,2.0,4,4.0,,,,,,,,,,,,,,
