time,rating,free_text,do_better,surgery,sentiment_free_text,sentiment_score_free_text,sentiment_do_better,sentiment_score_do_better,free_text_len,do_better_len,rating_score,feedback_labels,improvement_labels
2023-07-13 15:28:22,Extremely likely,Very friendly caring staff treated me with respect and listened to my problem,,Earls Court Surgery,positive,0.8929322361946106,neutral,0.0,13.0,3,5.0,Staff Empathy and Compassion,
2023-07-13 15:29:16,Extremely likely,,,Earls Court Surgery,neutral,0.0,neutral,0.0,4.0,0,5.0,,
2023-07-13 15:29:21,Extremely likely,The doctor was very understanding and very knowledgeable,,Earls Court Surgery,positive,0.9691754579544068,neutral,0.0,8.0,5,5.0,Patient Respect,
2023-07-13 15:30:10,Extremely likely,,,Earls Court Surgery,neutral,0.0,neutral,0.0,5.0,5,5.0,,
2023-07-13 15:31:48,Extremely likely,I was spoken to politely on the phone and a telephone appointment arranged with my doctor which due to a mistake on a locked phone I wasn t able to answer but I was called back twice to complete my assessment of my health worry,No I was happy with everything,Earls Court Surgery,neutral,0.756987452507019,positive,0.8374878168106079,44.0,6,5.0,Follow-up and Continuity of Care,Patient Respect
2023-07-13 15:32:45,Likely,,,Earls Court Surgery,neutral,0.0,neutral,0.0,0.0,0,4.0,,
2023-07-13 15:32:52,Extremely likely,Very professional and very kind I feel comfortable when I attend my appointment there,,Earls Court Surgery,positive,0.976664423942566,neutral,0.0,14.0,5,5.0,Staff Professionalism,
2023-07-13 15:33:01,Extremely likely,,,Earls Court Surgery,neutral,0.0,neutral,0.0,5.0,1,5.0,,
2023-07-13 15:33:02,Extremely likely,,,Earls Court Surgery,neutral,0.0,neutral,0.0,3.0,0,5.0,,
2023-07-13 15:33:33,Extremely likely,The nurse Miss PERSON was absolutely amazing understanding kind fun thorough careful She is the best,,Earls Court Surgery,positive,0.9687446355819702,neutral,0.0,16.0,0,5.0,Patient Respect,
2023-07-13 15:37:50,Likely,I have been with surgery for considerable years and was well looked after by Dr PERSON hoping the work ethic continues apart that good service good location etc,I think it is getting better the ladies at the reception can be so rude it would not do any harm to smile be friendly put the patient at ease,Earls Court Surgery,positive,0.936647653579712,neutral,0.4182837605476379,29.0,30,4.0,Patient Respect,Reception Staff Interaction
2023-07-13 15:38:26,Likely,,The basement is a bit dark and gloomy and reception area could also do with an upgrade,Earls Court Surgery,neutral,0.0,negative,0.7405656576156616,3.0,17,4.0,,Environment and Ambiance
2023-07-13 15:39:40,Extremely likely,,,Earls Court Surgery,neutral,0.0,neutral,0.0,2.0,0,5.0,,
2023-07-13 15:40:54,Extremely likely,Because the staff are very helpful,,Earls Court Surgery,positive,0.966754913330078,neutral,0.0,6.0,0,5.0,Staff Professionalism,
2023-07-13 15:42:00,Likely,Nurse PERSON is really helpful and look after us,PERSON s court surgery is really lucky to have Nurse A,Earls Court Surgery,positive,0.964298129081726,positive,0.965470016002655,9.0,10,4.0,Patient Respect,Patient Respect
2023-07-13 15:49:20,Extremely likely,,,Earls Court Surgery,neutral,0.0,neutral,0.0,5.0,1,5.0,,
2023-07-13 16:12:29,Likely,,,Earls Court Surgery,neutral,0.0,neutral,0.0,2.0,1,4.0,,
2023-07-13 16:15:17,Extremely likely,The receptionist was really very very helpful,Yes of course she showed me the easy and a great way to apply for my medicine,Earls Court Surgery,positive,0.9788718819618224,positive,0.9616867303848268,7.0,17,5.0,Reception Staff Interaction,Accessibility and Convenience
2023-07-13 16:21:38,Extremely likely,,,Earls Court Surgery,neutral,0.0,neutral,0.0,5.0,2,5.0,,
2023-07-13 16:28:52,Likely,,,Earls Court Surgery,neutral,0.0,neutral,0.0,0.0,0,4.0,,
2023-07-13 16:28:57,Extremely likely,,,Earls Court Surgery,neutral,0.0,neutral,0.0,5.0,4,5.0,,
2023-07-13 16:32:04,Extremely likely,,The staff and especially the GP are Extremely likely in service,Earls Court Surgery,neutral,0.0,neutral,0.5352214574813843,3.0,11,5.0,,Follow-up and Continuity of Care
2023-07-13 16:36:29,Extremely likely,All the colleagues are nice and professional,,Earls Court Surgery,positive,0.9584384560585022,neutral,0.0,7.0,0,5.0,Staff Professionalism,
2023-07-13 16:38:17,Extremely likely,,,Earls Court Surgery,neutral,0.0,neutral,0.0,0.0,0,5.0,,
2023-07-13 16:59:32,Likely,,,Earls Court Surgery,neutral,0.0,neutral,0.0,3.0,2,4.0,,
2023-07-13 17:23:48,Extremely likely,The GP was very calm friendly and helpful,,Earls Court Surgery,positive,0.9510332942008972,neutral,0.0,8.0,0,5.0,Patient Respect,
2023-07-13 17:38:30,Extremely likely,I m with Earl s Court Surgery about 20 years I m very happy They do excellent service,,Earls Court Surgery,positive,0.9808520674705504,neutral,0.0,15.0,0,5.0,Treatment Quality,
2023-07-13 17:48:49,Extremely likely,Care and good service What more does a patient wants,,Earls Court Surgery,positive,0.7358306050300598,neutral,0.0,10.0,1,5.0,Patient Respect,
2023-07-13 17:51:39,Likely,I always manage to get an appointment with the Doctor or nurse within a reasonable timeframe I feel the Doctor and nurses are competent and attentive,,Earls Court Surgery,positive,0.9110012650489808,neutral,0.0,26.0,0,4.0,Appointment Availability,
2023-07-13 18:05:20,Extremely likely,,,Earls Court Surgery,neutral,0.0,neutral,0.0,5.0,2,5.0,,
2023-07-13 19:06:08,Extremely likely,Immediate appointment great doctor and very caring staff,,Earls Court Surgery,positive,0.9760201573371888,neutral,0.0,8.0,0,5.0,Staff Empathy and Compassion,
2023-07-13 19:27:12,Extremely likely,,,Earls Court Surgery,neutral,0.0,neutral,0.0,3.0,4,5.0,,
2023-07-13 19:44:26,Likely,I did not have an appointment with the surgery I had one with Earls court fitness centre,Yes they didn t have my xray for my arm a waste off time for me there,Earls Court Surgery,neutral,0.8434399366378784,negative,0.8638166189193726,17.0,16,4.0,Appointment Availability,Test Results
2023-07-13 20:12:37,Extremely likely,,,Earls Court Surgery,neutral,0.0,neutral,0.0,0.0,0,5.0,,
2023-07-13 20:12:42,Extremely likely,,,Earls Court Surgery,neutral,0.0,neutral,0.0,0.0,0,5.0,,
2023-07-13 20:12:48,Likely,,,Earls Court Surgery,neutral,0.0,neutral,0.0,0.0,0,4.0,,
2023-07-13 20:12:59,Extremely likely,,,Earls Court Surgery,neutral,0.0,neutral,0.0,3.0,0,5.0,,
2023-07-13 20:55:36,Extremely likely,Help what I need thank you so much,,Earls Court Surgery,positive,0.9205673933029176,neutral,0.0,7.0,5,5.0,Patient Respect,
2023-07-14 07:36:18,Extremely unlikely,Not caring practice I am afraid,More knowledge newly qualified doctors enthusiastic,Earls Court Surgery,negative,0.7523131370544434,positive,0.8314564228057861,6.0,7,1.0,Environment and Ambiance,Staff Professionalism
2023-07-14 10:07:08,Likely,,,Earls Court Surgery,neutral,0.0,neutral,0.0,0.0,0,4.0,,
2023-07-14 10:26:34,Extremely likely,Everything is good clinic doctors and all staff good,,Earls Court Surgery,positive,0.9405361413955688,neutral,0.0,9.0,0,5.0,Staff Professionalism,
2023-07-14 10:26:55,Extremely likely,Everything is good clinic doctors and all staff good,,Earls Court Surgery,positive,0.9405361413955688,neutral,0.0,9.0,0,5.0,Staff Professionalism,
2023-07-14 14:13:56,Likely,Staff is friendly and you get good care and nurse is available I don t need to go to hospital for small injuries Doctors waiting is not long easily available,,Earls Court Surgery,positive,0.5909957885742188,neutral,0.0,29.0,5,4.0,Treatment Quality,
2023-07-14 20:15:34,Extremely likely,Because all Staffs are Helpful Friendly as well,,Earls Court Surgery,positive,0.9270039796829224,neutral,0.0,8.0,1,5.0,Staff Empathy and Compassion,
2023-07-15 09:41:01,Extremely likely,,,Earls Court Surgery,neutral,0.0,neutral,0.0,0.0,0,5.0,,
2023-07-15 09:41:06,Extremely likely,,,Earls Court Surgery,neutral,0.0,neutral,0.0,0.0,0,5.0,,
2023-07-15 09:41:11,Extremely likely,,,Earls Court Surgery,neutral,0.0,neutral,0.0,0.0,0,5.0,,
2023-07-15 11:10:55,Likely,,,Earls Court Surgery,neutral,0.0,neutral,0.0,0.0,0,4.0,,
2023-07-15 11:11:23,Likely,,,Earls Court Surgery,neutral,0.0,neutral,0.0,0.0,0,4.0,,
2023-07-15 11:20:12,Extremely likely,,,Earls Court Surgery,neutral,0.0,neutral,0.0,0.0,0,5.0,,
2023-07-15 14:59:54,Extremely likely,Everybody is helpful qualified and humanitarian Honestly my doctor nurses and receptionists are Extremely likely people I m so happy to be registered there I am a doctor as well but in another country so I know what I m talking about Extremely likely people Extremely likely specialists,,Earls Court Surgery,positive,0.9624173045158386,neutral,0.0,47.0,5,5.0,Staff Empathy and Compassion,
2023-07-15 16:14:00,Extremely likely,I have been satisfied of my call to my GP practice on that day,,Earls Court Surgery,positive,0.8436181545257568,neutral,0.0,14.0,0,5.0,Patient Respect,
2023-07-17 14:16:10,Extremely likely,,,Earls Court Surgery,neutral,0.0,neutral,0.0,0.0,3,5.0,,
2023-07-18 08:41:37,Likely,,,Earls Court Surgery,neutral,0.0,neutral,0.0,0.0,0,4.0,,
2023-07-18 16:18:40,Likely,,,Earls Court Surgery,neutral,0.0,neutral,0.0,0.0,0,4.0,,
2023-07-26 16:24:24,Extremely likely,,,Earls Court Surgery,neutral,0.0,neutral,0.0,2.0,1,5.0,,
