free_text,sentiment_free_text,sentiment_score_free_text,free_text_len,rating_score,feedback_labels,emotion_free_text,label,abs_sentiment
PERSON was amazing kind and helpful The reception staff were cold and rather indifferent A more welcoming and friendly approach would be appreciated,positive,0.9379867911,23.0,4.0,Reception Staff Interaction,admiration,0,0.9379867911
We have had Very good service from the NHS regarding my diabetes All of my needs have been met Iâ€™m very happy,positive,0.9710784554,22.0,5.0,Treatment Quality,joy,0,0.9710784554
The staff polite feel welcome and comfortable whit doctor,positive,0.8193179369,9.0,4.0,Staff Professionalism,gratitude,0,0.8193179369
I ve been with the Surgery for years Good service even in Covid Many thanks,positive,0.9576987624,14.0,5.0,Patient Respect,gratitude,0,0.9576987624
All people who works there Very kind team work are excellent,positive,0.9747138619,11.0,4.0,Staff Professionalism,admiration,0,0.9747138619
I always get an appointment when I need it and the staff and doctors take the time to listen to you,positive,0.583609402,21.0,5.0,Patient Respect,neutral,0,0.583609402
The assistants are very helpful and professional,positive,0.9664122462,7.0,5.0,Staff Professionalism,admiration,0,0.9664122462
Gp is understanding and compassionate The reception staff are courteous And friendly and always try to help you every way they can,positive,0.9523379803,22.0,5.0,Staff Empathy and Compassion,caring,0,0.9523379803
Nothing at all I think you are all very effecient at all times,negative,0.6816362739,15.0,4.0,Staff Professionalism,neutral,0,-0.6816362739
I was provided with the extra prescription because I was going away and my medicine would run out otherwise,neutral,0.7459328771,19.0,4.0,Prescriptions and Medication Management,neutral,0,0.7459328771
They are nice and friendly Very good job ðŸ ,positive,0.9669089317,10.0,5.0,Patient Respect,admiration,0,0.9669089317
Quicker to speak to a doctor about test results,neutral,0.831807673,9.0,5.0,Test Results,neutral,0,0.831807673
The lDoctors always take time to Listen to any query and the support staff are friendly,positive,0.8049007654,16.0,5.0,Staff Empathy and Compassion,neutral,0,0.8049007654
All staff is caring and efficient,positive,0.8842465878,6.0,5.0,Staff Professionalism,admiration,0,0.8842465878
Both Dr PERSON and resident nurse are so nice calm and comforting Especially for someone with health anxiety they re both Godsend,positive,0.947711885,21.0,5.0,Staff Empathy and Compassion,admiration,0,0.947711885
Having a face to face meeting,neutral,0.8548740149,6.0,4.0,Accessibility and Convenience,neutral,0,0.8548740149
She took me seriously and warm staff,positive,0.841840148,7.0,5.0,Staff Empathy and Compassion,caring,0,0.841840148
The extremely long waiting time to see the doctor,negative,0.7421718836,9.0,4.0,Waiting Time,neutral,0,-0.7421718836
To be honest everything was great,positive,0.9720763564,6.0,5.0,Staff Professionalism,admiration,0,0.9720763564
Knowing my blood test results earlier It wasnâ€™t clear to me to call for my results last time I had my bloods tested in 2021,neutral,0.7303405404,25.0,5.0,Test Results,confusion,0,0.7303405404
My visit was perfect the reception staff were helpful polite and caring the doctor was on time very approachable and friendly and made me feel confident going forward,positive,0.9731753469,28.0,5.0,Reception Staff Interaction,admiration,0,0.9731753469
The appointment and visit was perfect,positive,0.9839946032,6.0,5.0,Follow-up and Continuity of Care,admiration,0,0.9839946032
