,time,rating,free_text,do_better,surgery,pcn,sentiment_free_text,sentiment_score_free_text,sentiment_do_better,sentiment_score_do_better,free_text_len,do_better_len,rating_score,feedback_labels,improvement_labels,submission_id,respondent-id,emotion_free_text,emotion_do_better,free_text_PER,do_better_PER,campaing_id,logic,campaign_rating,campaign_freetext,free_text_qa,do_better_qa
0,2024-01-03 21:23:32,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,0.0,0,5.0,,,,,,,,,,,,,,
1,2024-01-03 21:55:34,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,3.0,0,5.0,,,,,,,,,,,,,,
2,2024-01-04 10:42:00,Very good,We have had Very good service from the NHS regarding my diabetes All of my needs have been met Iâ€™m very happy,,Scarsdale-Medical-Centre,Brompton-Health-PCN,positive,0.9767250418663024,neutral,0.0,22.0,0,5.0,Excellent Clinical Care and Thorough Explanation,,mannual,upload,joy,,,,,,,,"{'score': 0.024738367646932602, 'start': 65, 'end': 111, 'answer': 'All of my needs have been met Iâ€™m very happy'}",
3,2024-01-04 11:45:52,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,0.0,0,5.0,,,,,,,,,,,,,,
4,2024-01-04 11:46:06,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,0.0,0,5.0,,,,,,,,,,,,,,
5,2024-01-04 11:46:50,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,2.0,1,5.0,,,,,,,,,,,,,,
6,2024-01-04 11:47:11,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,0.0,0,5.0,,,,,,,,,,,,,,
7,2024-01-04 11:47:16,Good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,0.0,0,4.0,,,,,,,,,,,,,,
8,2024-01-04 11:47:50,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,0.0,0,5.0,,,,,,,,,,,,,,
9,2024-01-04 11:48:00,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,2.0,1,5.0,,,,,,,,,,,,,,
10,2024-01-04 11:48:32,Good,The staff polite feel welcome and comfortable whit doctor,,Earls-Court-Surgery,Brompton-Health-PCN,positive,0.8193181753158569,neutral,0.0,9.0,1,4.0,Staff Professionalism and Knowledge,,,,gratitude,,,,,,,,"{'score': 0.0009052646928466856, 'start': 0, 'end': 45, 'answer': 'The staff polite feel welcome and comfortable'}",
11,2024-01-04 11:50:09,Very good,I ve been with the Surgery for years Good service even in Covid Many thanks,,Earls-Court-Surgery,Brompton-Health-PCN,positive,0.9576987624168396,neutral,0.0,14.0,1,5.0,Overall Excellent Service and Practice,,,,gratitude,,,,,,,,"{'score': 0.000954213785007596, 'start': 37, 'end': 75, 'answer': 'Good service even in Covid Many thanks'}",
12,2024-01-04 11:54:46,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,0.0,0,5.0,,,,,,,,,,,,,,
13,2024-01-04 12:01:37,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,4.0,1,5.0,,,,,,,,,,,,,,
14,2024-01-04 12:06:06,Good,All people who works there Very kind team work are Very good,,Earls-Court-Surgery,Brompton-Health-PCN,positive,0.9719485640525818,neutral,0.0,12.0,0,4.0,"Staff Kindness, Empathy and Compassion",,,,admiration,,,,,,,,"{'score': 0.005009632557630539, 'start': 27, 'end': 60, 'answer': 'Very kind team work are Very good'}",
15,2024-01-04 12:07:08,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,4.0,0,5.0,,,,,,,,,,,,,,
16,2024-01-04 12:22:48,Very good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,0.0,0,5.0,,,,,,,,,,,,,,
17,2024-01-04 12:23:44,Very good,I always get an appointment when I need it and the staff and doctors take the time to listen to you,Having a coffee machine so you can have a drink while waiting,Earls-Court-Surgery,Brompton-Health-PCN,positive,0.5836091041564941,neutral,0.7393972277641296,21.0,12,5.0,Overall Excellent Service and Practice,Waiting Time in Surgery / Waiting Room,,,neutral,neutral,,,,,,,"{'score': 0.0043738712556660175, 'start': 0, 'end': 42, 'answer': 'I always get an appointment when I need it'}","{'score': 0.05726846680045128, 'start': 0, 'end': 23, 'answer': 'Having a coffee machine'}"
18,2024-01-04 12:54:56,Very good,The assistants are very helpful and professional,,Earls-Court-Surgery,Brompton-Health-PCN,positive,0.9664122462272644,neutral,0.0,7.0,0,5.0,Staff Professionalism and Knowledge,,,,admiration,,,,,,,,"{'score': 0.0005044556455686688, 'start': 0, 'end': 48, 'answer': 'The assistants are very helpful and professional'}",
19,2024-01-04 13:19:00,Very good,,,Scarsdale-Medical-Centre,Brompton-Health-PCN,neutral,0.0,neutral,0.0,1.0,0,5.0,,,mannual,upload,,,,,,,,,,
20,2024-01-04 13:29:00,Very good,,,Scarsdale-Medical-Centre,Brompton-Health-PCN,neutral,0.0,neutral,0.0,1.0,0,5.0,,,mannual,upload,,,,,,,,,,
21,2024-01-04 14:01:54,Very good,Gp is understanding and compassionate The reception staff are courteous And friendly and always try to help you every way they can,Due to the number of illnesses I suffer from some of which are serious it would be so beneficial to me to have an appointment much sooner based Upon I am In a vulnerable group in relation to my medical problems,Earls-Court-Surgery,Brompton-Health-PCN,positive,0.9523379802703856,negative,0.6172853112220764,22.0,41,5.0,Reception Staff Friendly and Helpful,Appointment Booking and Online Systems,,,caring,sadness,,,,,,,"{'score': 0.0006502559408545494, 'start': 6, 'end': 37, 'answer': 'understanding and compassionate'}","{'score': 0.10852519422769547, 'start': 71, 'end': 137, 'answer': 'it would be so beneficial to me to have an appointment much sooner'}"
22,2024-01-04 15:25:41,Good,,,Earls-Court-Surgery,Brompton-Health-PCN,neutral,0.0,neutral,0.0,2.0,4,4.0,,,,,,,,,,,,,,
23,2024-01-04 15:46:00,Good,Nothing at all I think you are all very effecient at all times,,Scarsdale-Medical-Centre,Brompton-Health-PCN,negative,0.6816364526748657,neutral,0.0,15.0,0,4.0,Overall Excellent Service and Practice,,mannual,upload,neutral,,,,,,,,"{'score': 0.022414324805140495, 'start': 0, 'end': 62, 'answer': 'Nothing at all I think you are all very effecient at all times'}",
