submission_id,respondent-id,time,rating,free_text,do_better,pcn,surgery,campaing_id,logic,campaign_rating,campaign_freetext
NRKXRl,brdQXE,2024-06-05 13:44:25,Very good,Great sutgery,No,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
0a0V29,OYek2K,2024-06-17 11:36:25,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
NdNAaW,vLaL50,2024-06-17 12:44:53,Very good,Great doctors and reception staff,Not for now ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
PkQEb0,lWj7yo,2024-06-17 12:49:30,Very good,Best practice ever,Thank you ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
2oZBBb,OJLQXp,2024-07-01 16:49:46,Very good,Attentive ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
GbgKEQ,2JLjZp,2024-07-01 16:56:29,Very good,Everyone in the Centre is very helpful and very kind ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
OEgGNa,VMVQva,2024-07-01 17:37:28,Very good,"It was the attention and care shown by the GP. She was exemplary. Young, up to date, enthusiastic and thorough. ","No, everything was satisfactory. ",Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
Wqg5lk,OJL4RR,2024-07-01 17:44:32,Very good,The gentleman at Reception is invariably very pleasant and helpful and our Dr. A. Kamvari  could not be more professional and attentive. He goes that extra mile to give first class care . We consider ourselves very fortunate to be patients at Kensington Park Medical Centre. ,Nothing at all to date ,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
xzoQgJ,OJLQXp,2024-07-01 18:18:55,Very good,Efficient care ,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
A90QWD,o7oVV1,2024-07-01 20:48:29,Very good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
bzDD2E,XMERAz,2024-07-01 21:14:17,Good,,,Brompton-Health-PCN,Kensington-Park-Medical-Centre,,,,
